Spieler,,Verein,Pos.,Mio.,PI,DN,PI V.,DN V.,
,Lewandowski,Bayern,STU,"8,5",,,231,"2,7",merken

,James,Bayern,MIT,"8,0",,,144,"2,9",merken

,Reus,Dortmund,MIT,"8,0",,,70,"3,2",merken

,Müller,Bayern,MIT,"7,4",,,159,"3,0",merken

,Robben,Bayern,MIT,"7,2",,,108,"3,0",merken

,Ribery,Bayern,MIT,"7,0",,,83,"3,1",merken

,Thiago,Bayern,MIT,"7,0",,,56,"3,3",merken

,Bailey,Leverkusen,MIT,"7,0",,,176,"3,0",merken

,Forsberg,Leipzig,MIT,"6,8",,,37,"3,6",merken

,Kramaric,Hoffenheim,STU,"6,5",,,183,"2,8",merken

,Werner,Leipzig,STU,"6,4",,,137,"3,4",merken

,Gnabry,Bayern,MIT,"5,6",,,152,"2,8",merken

,Gomez,Stuttgart,STU,"5,5",,,70,"3,7",merken

,Witsel,Dortmund,MIT,"5,5",,,,,merken

,Coman,Bayern,MIT,"5,3",,,103,"2,5",merken

,Sabitzer,Leipzig,MIT,"5,2",,,92,"3,2",merken

,Stindl,Gladbach,MIT,"5,0",,,109,"3,4",merken

,Götze,Dortmund,MIT,"5,0",,,82,"3,2",merken

,Pulisic,Dortmund,MIT,"5,0",,,87,"3,5",merken

,Brandt,Leverkusen,MIT,"4,8",,,119,"3,4",merken

,Tolisso,Bayern,MIT,"4,8",,,67,"3,6",merken

,Augustin,Leipzig,STU,"4,6",,,102,"3,1",merken

,Neuer,Bayern,TOR,"4,5",,,18,"2,8",merken

,Naldo,Schalke,ABW,"4,5",,,240,"2,7",merken

,Hummels,Bayern,ABW,"4,5",,,134,"2,8",merken

,Kruse,Bremen,STU,"4,5",,,106,"3,4",merken

,Volland,Leverkusen,STU,"4,5",,,118,"3,5",merken

,Goretzka,Bayern,MIT,"4,4",,,65,"3,5",merken

,Kimmich,Bayern,ABW,"4,3",,,127,"3,1",merken

,Wagner,Bayern,STU,"4,2",,,137,"2,9",merken

,Javi Martinez,Bayern,MIT,"4,2",,,87,"3,0",merken

,Sommer,Gladbach,TOR,"4,2",,,154,"2,8",merken

,Raffael,Gladbach,STU,"4,2",,,94,"3,4",merken

,Alaba,Bayern,ABW,"4,2",,,85,"3,0",merken

,Burgstaller,Schalke,STU,"4,2",,,139,"3,2",merken

,Rebic,Frankfurt,STU,"4,2",,,105,"3,1",merken

,Klaassen,Bremen,MIT,"4,2",,,,,merken

,Fährmann,Schalke,TOR,"4,0",,,149,"3,1",merken

,Zieler,Stuttgart,TOR,"4,0",,,190,"2,9",merken

,Boateng,Bayern,ABW,"4,0",,,105,"2,8",merken

,Casteels,Wolfsburg,TOR,"4,0",,,196,"2,7",merken

,Süle,Bayern,ABW,"4,0",,,92,"3,1",merken

,Pavlenka,Bremen,TOR,"4,0",,,196,"2,8",merken

,Hradecky,Leverkusen,TOR,"3,8",,,172,"2,9",merken

,Gulacsi,Leipzig,TOR,"3,8",,,174,"2,8",merken

,Uth,Schalke,STU,"3,8",,,164,"3,1",merken

,Philipp,Dortmund,STU,"3,8",,,86,"3,2",merken

,Weigl,Dortmund,MIT,"3,8",,,23,"3,8",merken

,Sané,Schalke,ABW,"3,8",,,142,"3,1",merken

,Wolf,Dortmund,MIT,"3,8",,,124,"3,2",merken

,Pavard,Stuttgart,ABW,"3,8",,,131,"3,1",merken

,Petersen,Freiburg,STU,"3,6",,,156,"3,1",merken

,Kagawa,Dortmund,MIT,"3,6",,,71,"3,3",merken

,Delaney,Dortmund,MIT,"3,6",,,87,"3,5",merken

,Hazard,Gladbach,STU,"3,6",,,126,"3,4",merken

,Dahoud,Dortmund,MIT,"3,6",,,47,"3,4",merken

,"Bender, L.",Leverkusen,MIT,"3,5",,,123,"2,7",merken

,Rudy,Bayern,MIT,"3,5",,,51,"3,5",merken

,Jarstein,Hertha,TOR,"3,5",,,140,"3,0",merken

,Kampl,Leipzig,MIT,"3,5",,,77,"3,3",merken

,Aranguiz,Leverkusen,MIT,"3,5",,,123,"3,0",merken

,Schwolow,Freiburg,TOR,"3,5",,,158,"3,0",merken

,Demirbay,Hoffenheim,MIT,"3,5",,,64,"3,2",merken

,Havertz,Leverkusen,MIT,"3,5",,,105,"3,2",merken

,Baumann,Hoffenheim,TOR,"3,4",,,159,"3,0",merken

,Didavi,Stuttgart,MIT,"3,4",,,57,"3,9",merken

,Vogt,Hoffenheim,ABW,"3,4",,,104,"3,2",merken

,Finnbogason,Augsburg,STU,"3,4",,,108,"3,4",merken

,Gregoritsch,Augsburg,MIT,"3,4",,,142,"3,4",merken

,Füllkrug,Hannover,STU,"3,4",,,120,"3,5",merken

,Tah,Leverkusen,ABW,"3,4",,,124,"2,9",merken

,Embolo,Schalke,STU,"3,3",,,30,"3,8",merken

,Gentner,Stuttgart,MIT,"3,2",,,87,"3,4",merken

,Ginczek,Wolfsburg,STU,"3,2",,,47,"3,7",merken

,Schulz,Hoffenheim,MIT,"3,2",,,108,"2,8",merken

,Hübner,Hoffenheim,ABW,"3,2",,,118,"3,1",merken

,Caligiuri,Schalke,MIT,"3,2",,,154,"3,2",merken

,Kramer,Gladbach,MIT,"3,2",,,90,"3,3",merken

,Ginter,Gladbach,ABW,"3,2",,,128,"3,3",merken

,Plea,Gladbach,STU,"3,2",,,,,merken

,Poulsen,Leipzig,STU,"3,2",,,49,"3,7",merken

,Amiri,Hoffenheim,MIT,"3,2",,,80,"3,3",merken

,Diallo,Dortmund,ABW,"3,2",,,119,"3,1",merken

,Akanji,Dortmund,ABW,"3,2",,,29,"3,3",merken

,Alario,Leverkusen,STU,"3,2",,,83,"3,4",merken

,Moisander,Bremen,ABW,"3,0",,,94,"3,2",merken

,Toprak,Dortmund,ABW,"3,0",,,69,"3,3",merken

,Malli,Wolfsburg,MIT,"3,0",,,44,"3,9",merken

,Bürki,Dortmund,TOR,"3,0",,,152,"3,1",merken

,Weiser,Leverkusen,ABW,"3,0",,,29,"3,8",merken

,Demme,Leipzig,MIT,"3,0",,,75,"3,4",merken

,Max,Augsburg,ABW,"3,0",,,139,"3,1",merken

,Grifo,Hoffenheim,MIT,"3,0",,,27,"3,7",merken

,Mascarell,Schalke,MIT,"3,0",,,35,"3,3",merken

,Bruma,Leipzig,MIT,"3,0",,,56,"3,6",merken

,Upamecano,Leipzig,ABW,"3,0",,,68,"3,5",merken

,Haller,Frankfurt,STU,"3,0",,,76,"3,7",merken

,Zakaria,Gladbach,MIT,"3,0",,,89,"3,4",merken

,Sancho,Dortmund,MIT,"3,0",,,46,"2,9",merken

,Castro,Stuttgart,MIT,"2,8",,,13,"3,9",merken

,"Bender, S.",Leverkusen,ABW,"2,8",,,84,"3,4",merken

,Piszczek,Dortmund,ABW,"2,8",,,43,"3,6",merken

,Konoplyanka,Schalke,MIT,"2,8",,,90,"3,3",merken

,Caiuby,Augsburg,MIT,"2,8",,,137,"3,2",merken

,Plattenhardt,Hertha,ABW,"2,8",,,75,"3,5",merken

,Bittencourt,Hoffenheim,MIT,"2,8",,,63,"3,5",merken

,Nastasic,Schalke,ABW,"2,8",,,65,"3,3",merken

,Orban,Leipzig,ABW,"2,8",,,64,"3,5",merken

,Rekik,Hertha,ABW,"2,8",,,90,"3,3",merken

,Gouweleeuw,Augsburg,ABW,"2,8",,,93,"3,1",merken

,Guerreiro,Dortmund,ABW,"2,8",,,-3,"4,5",merken

,Gbamin,Mainz,MIT,"2,8",,,115,"3,2",merken

,Müller,Frankfurt,MIT,"2,7",,,7,,merken

,Badstuber,Stuttgart,ABW,"2,7",,,85,"3,3",merken

,Kaderabek,Hoffenheim,MIT,"2,7",,,102,"3,2",merken

,Lazaro,Hertha,MIT,"2,7",,,62,"3,5",merken

,Bentaleb,Schalke,MIT,"2,7",,,24,"3,8",merken

,Elvedi,Gladbach,ABW,"2,7",,,72,"3,6",merken

,Weghorst,Wolfsburg,STU,"2,7",,,,,merken

,Ascacibar,Stuttgart,MIT,"2,7",,,75,"3,3",merken

,Baier,Augsburg,MIT,"2,6",,,77,"3,4",merken

,Tschauner,Hannover,TOR,"2,6",,,146,"3,0",merken

,Kalou,Hertha,STU,"2,6",,,57,"3,9",merken

,Chandler,Frankfurt,ABW,"2,6",,,81,"3,3",merken

,Stark,Hertha,ABW,"2,6",,,49,"3,6",merken

,Rönnow,Frankfurt,TOR,"2,6",,,,,merken

,Bebou,Hannover,STU,"2,6",,,82,"3,4",merken

,"Eggest., M.",Bremen,MIT,"2,6",,,104,"3,3",merken

,Grillitsch,Hoffenheim,MIT,"2,6",,,82,"3,2",merken

,Anton,Hannover,ABW,"2,6",,,87,"3,2",merken

,Wendell,Leverkusen,ABW,"2,6",,,79,"3,3",merken

,Jovic,Frankfurt,STU,"2,6",,,58,"3,4",merken

,Maffeo,Stuttgart,ABW,"2,6",,,,,merken

,Renato Sanches,Bayern,MIT,"2,6",,,0,,merken

,Abraham,Frankfurt,ABW,"2,5",,,66,"3,5",merken

,Bartels,Bremen,STU,"2,5",,,35,"3,6",merken

,Hahn,Augsburg,MIT,"2,5",,,-8,"4,3",merken

,Behrens,Nürnberg,MIT,"2,5",,,,,merken

,Stambouli,Schalke,MIT,"2,5",,,63,"3,4",merken

,Brooks,Wolfsburg,ABW,"2,5",,,20,"3,4",merken

,Darida,Hertha,MIT,"2,5",,,30,"3,7",merken

,Günter,Freiburg,ABW,"2,5",,,88,"3,5",merken

,Geiger,Hoffenheim,MIT,"2,5",,,91,"3,0",merken

,Augustinsson,Bremen,ABW,"2,5",,,60,"3,5",merken

,Kostic,Frankfurt,MIT,"2,5",,,7,"4,2",merken

,Retsos,Leverkusen,ABW,"2,5",,,39,"3,7",merken

,Hakimi,Dortmund,ABW,"2,5",,,,,merken

,Paulinho,Leverkusen,MIT,"2,5",,,,,merken

,Adler,Mainz,TOR,"2,4",,,90,"2,6",merken

,Ibisevic,Hertha,STU,"2,4",,,34,"3,9",merken

,Insua,Stuttgart,ABW,"2,4",,,35,"3,7",merken

,Schmelzer,Dortmund,ABW,"2,4",,,8,"3,9",merken

,Klaus,Wolfsburg,MIT,"2,4",,,75,"3,5",merken

,Zuber,Hoffenheim,MIT,"2,4",,,30,"3,7",merken

,Ducksch,Düsseldorf,STU,"2,4",,,,,merken

,Bellarabi,Leverkusen,MIT,"2,4",,,37,"3,7",merken

,Bell,Mainz,ABW,"2,4",,,64,"3,4",merken

,Arnold,Wolfsburg,MIT,"2,4",,,32,"3,8",merken

,Hinteregger,Augsburg,ABW,"2,4",,,69,"3,5",merken

,Heintz,Freiburg,ABW,"2,4",,,78,"3,5",merken

,Selke,Hertha,STU,"2,4",,,88,"3,5",merken

,Niederlechner,Freiburg,STU,"2,4",,,19,"3,7",merken

,Haberer,Freiburg,MIT,"2,4",,,76,"3,6",merken

,Serdar,Schalke,MIT,"2,4",,,47,"3,5",merken

,Laimer,Leipzig,ABW,"2,4",,,30,"3,6",merken

,Donis,Stuttgart,STU,"2,4",,,56,"3,2",merken

,Akolo,Stuttgart,MIT,"2,4",,,49,"3,6",merken

,Gonzalez,Stuttgart,STU,"2,4",,,,,merken

,Skjelbred,Hertha,MIT,"2,3",,,77,"3,3",merken

,Aogo,Stuttgart,MIT,"2,3",,,57,"3,5",merken

,Belfodil,Hoffenheim,STU,"2,3",,,49,"3,6",merken

,Schöpf,Schalke,MIT,"2,3",,,6,"4,0",merken

,Koch,Freiburg,ABW,"2,3",,,76,"3,3",merken

,Rafinha,Bayern,ABW,"2,2",,,64,"3,4",merken

,Sahin,Dortmund,MIT,"2,2",,,52,"3,5",merken

,Wendt,Gladbach,ABW,"2,2",,,30,"3,8",merken

,Harnik,Bremen,STU,"2,2",,,59,"3,8",merken

,Latza,Mainz,MIT,"2,2",,,58,"3,6",merken

,Baumgartlinger,Leverkusen,MIT,"2,2",,,68,"3,2",merken

,Oczipka,Schalke,MIT,"2,2",,,43,"3,6",merken

,Di Santo,Schalke,STU,"2,2",,,32,"3,9",merken

,Wood,Hannover,STU,"2,2",,,-43,"4,6",merken

,Halstenberg,Leipzig,ABW,"2,2",,,49,"3,4",merken

,Margreitter,Nürnberg,ABW,"2,2",,,,,merken

,Kainz,Bremen,STU,"2,2",,,67,"3,5",merken

,Akpoguma,Hoffenheim,ABW,"2,2",,,56,"3,3",merken

,Ishak,Nürnberg,STU,"2,2",,,,,merken

,Wimmer,Hannover,ABW,"2,2",,,,,merken

,Fabian,Frankfurt,MIT,"2,2",,,16,"3,4",merken

,Lang,Gladbach,ABW,"2,2",,,,,merken

,Klostermann,Leipzig,ABW,"2,2",,,46,"3,6",merken

,Leibold,Nürnberg,ABW,"2,2",,,,,merken

,Osako,Bremen,STU,"2,2",,,-13,"4,3",merken

,Löwen,Nürnberg,MIT,"2,2",,,,,merken

,Gacinovic,Frankfurt,MIT,"2,2",,,33,"3,8",merken

,De Blasis,Mainz,MIT,"2,2",,,42,"3,8",merken

,Uduokhai,Wolfsburg,ABW,"2,2",,,40,"3,5",merken

,Salcedo,Frankfurt,ABW,"2,2",,,23,"3,7",merken

,Saracchi,Leipzig,ABW,"2,2",,,,,merken

,Johnson,Gladbach,MIT,"2,0",,,5,"4,1",merken

,Hennings,Düsseldorf,STU,"2,0",,,,,merken

,Schwegler,Hannover,MIT,"2,0",,,69,"3,5",merken

,Herrmann,Gladbach,STU,"2,0",,,19,"3,8",merken

,de Guzman,Frankfurt,MIT,"2,0",,,41,"3,3",merken

,Traoré,Gladbach,STU,"2,0",,,13,"3,0",merken

,Nordtveit,Hoffenheim,ABW,"2,0",,,31,"3,4",merken

,Höfler,Freiburg,MIT,"2,0",,,61,"3,5",merken

,Hasebe,Frankfurt,ABW,"2,0",,,51,"3,4",merken

,Bargfrede,Bremen,MIT,"2,0",,,85,"3,3",merken

,Luthe,Augsburg,TOR,"2,0",,,8,"3,0",merken

,Bakalorz,Hannover,MIT,"2,0",,,56,"3,5",merken

,Valentini,Nürnberg,ABW,"2,0",,,,,merken

,Gondorf,Freiburg,MIT,"2,0",,,20,"3,9",merken

,Gebre Selassie,Bremen,ABW,"2,0",,,47,"3,8",merken

,da Costa,Frankfurt,ABW,"2,0",,,46,"3,3",merken

,Guilavogui,Wolfsburg,MIT,"2,0",,,57,"3,6",merken

,Khedira,Augsburg,MIT,"2,0",,,70,"3,4",merken

,Rupp,Hoffenheim,MIT,"2,0",,,57,"3,4",merken

,Bruma,Wolfsburg,ABW,"2,0",,,2,"4,0",merken

,Koo,Augsburg,MIT,"2,0",,,43,"3,7",merken

,Ayhan,Düsseldorf,ABW,"2,0",,,,,merken

,Skrzybski,Schalke,MIT,"2,0",,,,,merken

,Kempf,Stuttgart,ABW,"2,0",,,12,"3,8",merken

,Stöger,Düsseldorf,MIT,"2,0",,,,,merken

,Baumgartl,Stuttgart,ABW,"2,0",,,58,"3,6",merken

,Drmic,Gladbach,STU,"2,0",,,32,"3,4",merken

,Juan Bernat,Bayern,ABW,"2,0",,,18,"3,6",merken

,Ewerton,Nürnberg,ABW,"2,0",,,,,merken

,Willems,Frankfurt,ABW,"2,0",,,38,"3,6",merken

,Henrichs,Leverkusen,ABW,"2,0",,,21,"3,6",merken

,Kohr,Leverkusen,MIT,"2,0",,,36,"3,6",merken

,Baba,Schalke,ABW,"2,0",,,3,"3,0",merken

,Raman,Düsseldorf,MIT,"2,0",,,,,merken

,Thommy,Stuttgart,MIT,"2,0",,,48,"3,6",merken

,Maier,Hertha,MIT,"2,0",,,16,"3,8",merken

,Veljkovic,Bremen,ABW,"2,0",,,51,"3,6",merken

,Grujic,Hertha,MIT,"2,0",,,,,merken

,Kiese Thelin,Leverkusen,STU,"2,0",,,,,merken

,Paciencia,Frankfurt,STU,"2,0",,,,,merken

,Aaron,Mainz,ABW,"2,0",,,,,merken

,Brekalo,Wolfsburg,MIT,"2,0",,,49,"3,7",merken

,Adams,Hoffenheim,ABW,"2,0",,,,,merken

,McKennie,Schalke,MIT,"2,0",,,37,"3,5",merken

,Mateta,Mainz,STU,"2,0",,,,,merken

,Mukiele,Leipzig,ABW,"2,0",,,,,merken

,Konaté,Leipzig,ABW,"2,0",,,16,"3,7",merken

,Matheus Cunha,Leipzig,STU,"2,0",,,,,merken

,Niakhaté,Mainz,ABW,"2,0",,,,,merken

,Rensing,Düsseldorf,TOR,"1,8",,,,,merken

,Beck,Stuttgart,ABW,"1,8",,,26,"3,8",merken

,Blaszczykowski,Wolfsburg,MIT,"1,8",,,9,"3,9",merken

,Langkamp,Bremen,ABW,"1,8",,,31,"3,6",merken

,Brosinski,Mainz,ABW,"1,8",,,30,"3,8",merken

,Frantz,Freiburg,MIT,"1,8",,,32,"3,4",merken

,Szalai,Hoffenheim,STU,"1,8",,,45,"3,5",merken

